ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,21.779241,0.39577762
4,104.032386,0.79155524
4.5,249.959649,0.79155524
5,406.376507,0.79155524
5.5,540.887131,0.79155524
6,702.218604,0.79155524
6.5,892.809185,0.79155524
7,1115.097135,0.79155524
7.5,1371.52071,0.79155524
8,1664.518172,0.79155524
8.5,1996.527778,0.79155524
9,2369.987788,0.79155524
9.5,2787.33646,0.79155524
10,3251.012054,0.79155524
10.5,3450,0.73622135
11,3450,0.6553902
11.5,3450,0.58645819
12,3450,0.52726451
12.5,3450,0.47610925
13,3450,0.43164158
13.5,3450,0.39277807
14,3450,0.35864235
14.5,3450,0.32851988
15,3450,0.30182382
15.5,3450,0.27806889
16,3450,0.25685126
16.5,3450,0.23783283
17,3450,0.22072898
17.5,3450,0.20529886
18,3450,0.19133763
18.5,3450,0.17867029
19,3450,0.16714664
19.5,3450,0.15663728
20,3450,0.14703024
20.5,3450,0.13822831
21,3450,0.13014678
21.5,3450,0.12271157
22,3450,0.11585771
22.5,3450,0.10952805
23,3450,0.10367214
23.5,3450,0.09824535
24,3450,0.09320808
24.5,3450,0.0885251
25,3450,0.08416502
25.1,0,0
25.5,0,0
26,0,0
