ws_m_s,power_kW,ct
0,0,0
1,0,0
2,0,0
3,0,0
3.5,0,0
4,387.510972,0.77011378
4.514653,644.692892,0.77630177
5.000796,937.974799,0.7824304
5.45735,1257.928478,0.78198299
5.883302,1604.119995,0.78024693
6.277706,1969.504269,0.77715301
6.639685,2340.111432,0.77185369
6.968438,2708.59563,0.77684596
7.263233,3067.098715,0.77684596
7.523415,3408.654893,0.77684596
7.748409,3723.706607,0.77684596
7.937713,4003.354317,0.77684596
8.090907,4239.645746,0.77684596
8.207652,4425.830055,0.77684596
8.287688,4556.570854,0.77684596
8.330838,4628.112983,0.77684596
8.337005,4638.399089,0.77684596
8.367834,4690.045495,0.77684596
8.43559,4804.899691,0.77684596
8.540124,4985.748651,0.77684596
8.681202,5236.938939,0.77684596
8.858512,5564.425114,0.77684596
9.071661,5975.831243,0.77684596
9.320174,6480.522086,0.77684596
9.603501,7089.679768,0.77684596
9.921011,7816.381143,0.77684596
10.272001,8690.612607,0.76752191
10.65569,9716.655499,0.76510435
10.757736,10000,0.75867503
11.517691,9999.999662,0.50564956
11.994088,10000.000105,0.43103561
12.499361,9999.986888,0.37082754
13.032389,10000.034429,0.32085593
13.591988,10000.023496,0.27880553
14.176915,10000.017753,0.24315102
14.785873,10000.014226,0.21277356
15.417508,10000.011693,0.18680378
16.070419,10000.009648,0.16454222
16.743156,10000.00796,0.14541456
17.434225,10000.006467,0.12894364
18.142092,10000.0051,0.11473028
18.865186,10000.003984,0.10243899
19.6019,10000.003088,0.09178696
20.350599,10000.002362,0.08253533
21.109621,10000.00176,0.07448201
21.877281,10000.001257,0.06745587
22.651874,10000.000849,0.06131177
23.43168,10000.000526,0.05592648
24.214969,10000.000282,0.05119526
25,10000.041655,0.04702912
25.1,0,0
26,0,0
