ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,20.217121,0.39802102
4,96.570645,0.79604203
4.5,232.03125,0.79604203
5,377.229081,0.79604203
5.5,502.091907,0.79604203
6,651.851852,0.79604203
6.5,828.772291,0.79604203
7,1035.116598,0.79604203
7.5,1273.148148,0.79604203
8,1545.130316,0.79604203
8.5,1853.326475,0.79604203
9,2200,0.79604203
9.5,2200,0.69539772
10,2200,0.61170534
10.5,2200,0.5414633
11,2200,0.48201501
11.5,2200,0.43131809
12,2200,0.38778335
12.5,2200,0.35016057
13,2200,0.31745626
13.5,2200,0.2888736
14,2200,0.26376805
14.5,2200,0.2416141
15,2200,0.22198014
15.5,2200,0.20450928
16,2200,0.18890451
16.5,2200,0.17491716
17,2200,0.16233792
17.5,2200,0.15098964
18,2200,0.14072168
18.5,2200,0.13140532
19,2200,0.12293011
19.5,2200,0.11520087
20,2200,0.10813525
20.5,2200,0.10166176
21,2200,0.09571809
21.5,2200,0.09024977
22,2200,0.08520902
22.5,2200,0.08055379
23,2200,0.07624699
23.5,2200,0.07225578
24,2200,0.06855106
24.5,2200,0.06510691
25,2200,0.06190023
25.1,0,0
25.5,0,0
26,0,0
