ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,8.202837,0.39659286
4,39.182298,0.79318572
4.5,94.143698,0.79318572
5,153.055852,0.79318572
5.5,203.717339,0.79318572
6,264.480512,0.79318572
6.5,336.263707,0.79318572
7,419.985258,0.79318572
7.5,516.5635,0.79318572
8,626.916769,0.79318572
8.5,751.9634,0.79318572
9,892.621728,0.79318572
9.5,1049.810088,0.79318572
10,1224.446815,0.79318572
10.5,1417.450245,0.79318572
11,1500,0.74020603
11.5,1500,0.66235334
12,1500,0.59549924
12.5,1500,0.53772385
13,1500,0.48750149
13.5,1500,0.44360855
14,1500,0.40505523
14.5,1500,0.37103453
15,1500,0.34088366
15.5,1500,0.31405455
16,1500,0.29009108
16.5,1500,0.26861142
17,1500,0.24929411
17.5,1500,0.23186714
18,1500,0.21609915
18.5,1500,0.20179249
19,1500,0.18877754
19.5,1500,0.17690813
20,1500,0.16605782
20.5,1500,0.15611681
21,1500,0.14698943
21.5,1500,0.13859201
22,1500,0.13085118
22.5,1500,0.12370237
23,1500,0.11708863
23.5,1500,0.11095955
24,1500,0.10527039
24.5,1500,0.09998138
25,1500,0.09505704
25.1,0,0
25.5,0,0
26,0,0
