ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,29.360872,0.39749791
4,140.247383,0.79499583
4.5,336.973785,0.79499583
5,547.841341,0.79499583
5.5,729.176825,0.79499583
6,946.669837,0.79499583
6.5,1203.607426,0.79499583
7,1503.276639,0.79499583
7.5,1848.964525,0.79499583
8,2243.958132,0.79499583
8.5,2691.544507,0.79499583
9,3195.010699,0.79499583
9.5,3757.643756,0.79499583
10,4000,0.73670596
10.5,4000,0.65211012
11,4000,0.5805137
11.5,4000,0.51945698
12,4000,0.46702601
12.5,4000,0.4217151
13,4000,0.38232774
13.5,4000,0.34790427
14,4000,0.31766846
14.5,4000,0.2909874
15,4000,0.26734129
15.5,4000,0.2463003
16,4000,0.22750672
16.5,4000,0.21066109
17,4000,0.19551131
17.5,4000,0.18184404
18,4000,0.16947784
18.5,4000,0.15825771
19,4000,0.1480506
19.5,4000,0.13874191
20,4000,0.13023245
20.5,4000,0.12243611
21,4000,0.11527787
21.5,4000,0.10869211
22,4000,0.10262129
22.5,4000,0.09701478
23,4000,0.09182789
23.5,4000,0.08702109
24,4000,0.08255932
24.5,4000,0.07841136
25,4000,0.0745494
25.1,0,0
25.5,0,0
26,0,0
