ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,98.091747,0.40130903
4,468.55253,0.80261806
4.5,1125.79583,0.80261806
5,1830.283319,0.80261806
5.5,2436.107097,0.80261806
6,3162.729575,0.80261806
6.5,4021.132451,0.80261806
7,5022.297427,0.80261806
7.5,6177.206201,0.80261806
8,7496.840473,0.80261806
8.5,8992.181945,0.80261806
9,10674.212315,0.80261806
9.5,12553.913283,0.80261806
10,14642.26655,0.80261806
10.5,16000,0.76494241
11,16000,0.68095792
11.5,16000,0.60933677
12,16000,0.54783386
12.5,16000,0.49468297
13,16000,0.44848055
13.5,16000,0.40810091
14,16000,0.3726335
14.5,16000,0.34133591
15,16000,0.3135984
15.5,16000,0.28891677
16,16000,0.2668714
16.5,16000,0.24711103
17,16000,0.22933994
17.5,16000,0.21330786
18,16000,0.19880199
18.5,16000,0.18564047
19,16000,0.17366727
19.5,16000,0.16274793
20,16000,0.1527661
20.5,16000,0.1436208
21,16000,0.13522399
21.5,16000,0.12749872
22,16000,0.12037749
22.5,16000,0.1138009
23,16000,0.10771654
23.5,16000,0.10207804
24,16000,0.09684426
24.5,16000,0.0919786
25,16000,0.08744842
25.1,0,0
25.5,0,0
26,0,0
