ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,30.828915,0.3956617
4,147.259752,0.79132341
4.5,353.822474,0.79132341
5,575.233408,0.79132341
5.5,765.635666,0.79132341
6,994.003329,0.79132341
6.5,1263.787797,0.79132341
7,1578.440471,0.79132341
7.5,1941.412751,0.79132341
8,2356.156038,0.79132341
8.5,2826.121733,0.79132341
9,3354.761234,0.79132341
9.5,3945.525944,0.79132341
10,4200,0.73330281
10.5,4200,0.64909775
11,4200,0.57783206
11.5,4200,0.51705739
12,4200,0.46486862
12.5,4200,0.41976702
13,4200,0.3805616
13.5,4200,0.34629716
14,4200,0.31620101
14.5,4200,0.2896432
15,4200,0.26610633
15.5,4200,0.24516253
16,4200,0.22645577
16.5,4200,0.20968796
17,4200,0.19460816
17.5,4200,0.18100402
18,4200,0.16869495
18.5,4200,0.15752665
19,4200,0.1473667
19.5,4200,0.138101
20,4200,0.12963085
20.5,4200,0.12187053
21,4200,0.11474535
21.5,4200,0.10819002
22,4200,0.10214724
22.5,4200,0.09656663
23,4200,0.0914037
23.5,4200,0.08661911
24,4200,0.08217794
24.5,4200,0.07804914
25,4200,0.07420503
25.1,0,0
25.5,0,0
26,0,0
