ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,11.89796,0.39604372
4,56.832704,0.79208745
4.5,136.552504,0.79208745
5,222.002751,0.79208745
5.5,295.485661,0.79208745
6,383.620753,0.79208745
6.5,487.740043,0.79208745
7,609.175547,0.79208745
7.5,749.259283,0.79208745
8,909.323266,0.79208745
8.5,1090.699513,0.79208745
9,1294.720041,0.79208745
9.5,1522.716866,0.79208745
10,1776.022004,0.79208745
10.5,2055.967473,0.79208745
11,2300,0.77420801
11.5,2300,0.6927791
12,2300,0.622854
12.5,2300,0.56242465
13,2300,0.50989528
13.5,2300,0.46398608
14,2300,0.42366178
14.5,2300,0.38807831
15,2300,0.35654244
15.5,2300,0.32848091
16,2300,0.30341666
16.5,2300,0.28095031
17,2300,0.26074565
17.5,2300,0.24251815
18,2300,0.22602585
18.5,2300,0.211062
19,2300,0.1974492
19.5,2300,0.18503456
20,2300,0.17368583
20.5,2300,0.16328817
21,2300,0.15374151
21.5,2300,0.14495835
22,2300,0.13686193
22.5,2300,0.12938475
23,2300,0.1224672
23.5,2300,0.11605657
24,2300,0.11010607
24.5,2300,0.10457411
25,2300,0.09942357
25.1,0,0
25.5,0,0
26,0,0
