ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,39.354412,0.39620162
4,187.983292,0.79240325
4.5,451.669328,0.79240325
5,734.309733,0.79240325
5.5,977.366255,0.79240325
6,1268.887219,0.79240325
6.5,1613.278484,0.79240325
7,2014.945908,0.79240325
7.5,2478.29535,0.79240325
8,3007.732668,0.79240325
8.5,3607.66372,0.79240325
9,4282.494365,0.79240325
9.5,5036.630461,0.79240325
10,5700,0.7727415
10.5,5700,0.68400769
11,5700,0.60890918
11.5,5700,0.54486591
12,5700,0.48987031
12.5,5700,0.44234304
13,5700,0.40102907
13.5,5700,0.3649218
14,5700,0.33320702
14.5,5700,0.30522087
15,5700,0.28041813
15.5,5700,0.25834793
16,5700,0.23863508
16.5,5700,0.22096545
17,5700,0.20507463
17.5,5700,0.19073883
18,5700,0.17776775
18.5,5700,0.16599879
19,5700,0.15529241
19.5,5700,0.14552838
20,5700,0.13660269
20.5,5700,0.128425
21,5700,0.12091662
21.5,5700,0.11400872
22,5700,0.10764095
22.5,5700,0.1017602
23,5700,0.09631959
23.5,5700,0.09127768
24,5700,0.08659765
24.5,5700,0.0822468
25,5700,0.07819594
25.1,0,0
25.5,0,0
26,0,0
