ws_m_s,power_kW,ct
0.0,0.0,0
0.5,0.0,0
1.0,0.0,0
1.5,0.0,0
2.0,0.0,0
2.5,0.0,0
3.0,0.0,0
3.5,37.479,0.3985
4.0,179.025,0.797
4.5,430.145,0.797
5.0,699.316,0.797
5.5,930.79,0.797
6.0,1208.419,0.797
6.5,1536.398,0.797
7.0,1918.924,0.797
7.5,2360.193,0.797
8.0,2864.4,0.797
8.5,3435.741,0.797
9.0,4078.413,0.797
9.5,4500,0.7557
10.0,4500,0.6647
10.5,4500,0.5884
11.0,4500,0.5238
11.5,4500,0.4687
12.0,4500,0.4214
12.5,4500,0.3805
13.0,4500,0.345
13.5,4500,0.3139
14.0,4500,0.2866
14.5,4500,0.2626
15.0,4500,0.2412
15.5,4500,0.2222
16.0,4500,0.2053
16.5,4500,0.1901
17.0,4500,0.1764
17.5,4500,0.1641
18.0,4500,0.1529
18.5,4500,0.1428
19.0,4500,0.1336
19.5,4500,0.1252
20.0,4500,0.1175
20.5,4500,0.1105
21.0,4500,0.104
21.5,4500,0.0981
22.0,4500,0.0926
22.5,4500,0.0875
23.0,4500,0.0829
23.5,4500,0.0785
24.0,4500,0.0745
24.5,0.0,0
25.0,0.0,0
25.5,0.0,0
26.0,0.0,0
26.5,0.0,0
27.0,0.0,0
27.5,0.0,0
28.0,0.0,0
28.5,0.0,0
29.0,0.0,0
29.5,0.0,0
30.0,0.0,0
