ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,58.498614,0.40210523
4,279.428949,0.80421045
4.5,671.386719,0.80421045
5,1091.519331,0.80421045
5.5,1452.81223,0.80421045
6,1886.145405,0.80421045
6.5,2398.067971,0.80421045
7,2995.129045,0.80421045
7.5,3683.877743,0.80421045
8,4470.863181,0.80421045
8.5,5362.634475,0.80421045
9,6365.740741,0.80421045
9.5,7486.731094,0.80421045
10,8732.154651,0.80421045
10.5,10108.560528,0.80421045
11,11000,0.7681524
11.5,11000,0.68736039
12,11000,0.61798223
12.5,11000,0.55802553
13,11000,0.50590704
13.5,11000,0.46035693
14,11000,0.42034803
14.5,11000,0.38504288
15,11000,0.35375367
15.5,11000,0.32591163
16,11000,0.30104342
16.5,11000,0.2787528
17,11000,0.25870618
17.5,11000,0.24062125
18,11000,0.22425795
18.5,11000,0.20941114
19,11000,0.19590481
19.5,11000,0.18358727
20,11000,0.17232731
20.5,11000,0.16201098
21,11000,0.15253899
21.5,11000,0.14382453
22,11000,0.13579144
22.5,11000,0.12837274
23,11000,0.1215093
23.5,11000,0.11514881
24,11000,0.10924486
24.5,11000,0.10375616
25,11000,0.09864591
25.1,0,0
25.5,0,0
26,0,0
