ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,50.732383,0.39709143
4,242.332176,0.79418287
4.5,582.253933,0.79418287
5,946.610062,0.79418287
5.5,1259.937993,0.79418287
6,1635.742188,0.79418287
6.5,2079.702307,0.79418287
7,2597.498011,0.79418287
7.5,3194.80896,0.79418287
8,3877.314815,0.79418287
8.5,4650.695236,0.79418287
9,5520.629883,0.79418287
9.5,6492.798417,0.79418287
10,6700,0.71713116
10.5,6700,0.63478309
11,6700,0.56508904
11.5,6700,0.50565464
12,6700,0.4546168
12.5,6700,0.41050983
13,6700,0.37216902
13.5,6700,0.33866021
14,6700,0.30922778
14.5,6700,0.28325566
15,6700,0.26023784
15.5,6700,0.23975593
16,6700,0.22146171
16.5,6700,0.20506367
17,6700,0.19031643
17.5,6700,0.17701231
18,6700,0.16497469
18.5,6700,0.15405269
19,6700,0.14411679
19.5,6700,0.13505544
20,6700,0.12677208
20.5,6700,0.1191829
21,6700,0.11221486
21.5,6700,0.10580409
22,6700,0.09989457
22.5,6700,0.09443703
23,6700,0.08938796
23.5,6700,0.08470888
24,6700,0.08036566
24.5,6700,0.07632791
25,6700,0.07256857
25.1,0,0
25.5,0,0
26,0,0
