ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,11.249586,0.39696476
4,53.735634,0.79392952
4.5,129.111143,0.79392952
5,209.904821,0.79392952
5.5,279.383316,0.79392952
6,362.71553,0.79392952
6.5,461.160891,0.79392952
7,575.978828,0.79392952
7.5,708.42877,0.79392952
8,859.770146,0.79392952
8.5,1031.262384,0.79392952
9,1224.164915,0.79392952
9.5,1439.737166,0.79392952
10,1679.238566,0.79392952
10.5,1943.928545,0.79392952
11,2000,0.72371054
11.5,2000,0.6475928
12,2000,0.58222855
12.5,2000,0.52574068
13,2000,0.47663753
13.5,2000,0.43372274
14,2000,0.39602858
14.5,2000,0.36276603
15,2000,0.33328707
15.5,2000,0.30705584
16,2000,0.2836264
16.5,2000,0.26262542
17,2000,0.2437386
17.5,2000,0.22669998
18,2000,0.21128339
18.5,2000,0.19729555
19,2000,0.18457064
19.5,2000,0.17296574
20,2000,0.16235723
20.5,2000,0.15263775
21,2000,0.14371377
21.5,2000,0.13550348
22,2000,0.12793516
22.5,2000,0.12094567
23,2000,0.11447932
23.5,2000,0.10848681
24,2000,0.10292444
24.5,2000,0.09775329
25,2000,0.0929387
25.1,0,0
25.5,0,0
26,0,0
