ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,24.830525,0.39800427
4,118.607383,0.79600854
4.5,284.979139,0.79600854
5,463.310088,0.79600854
5.5,616.665727,0.79600854
6,800.599832,0.79600854
6.5,1017.892263,0.79600854
7,1271.322882,0.79600854
7.5,1563.671547,0.79600854
8,1897.718121,0.79600854
8.5,2276.242463,0.79600854
9,2702.024433,0.79600854
9.5,3177.843894,0.79600854
10,3706.480704,0.79600854
10.5,4290.714725,0.79600854
11,4800,0.7780406
11.5,4800,0.69620858
12,4800,0.62593734
12.5,4800,0.56520883
13,4800,0.51241943
13.5,4800,0.46628297
14,4800,0.42575905
14.5,4800,0.38999943
15,4800,0.35830744
15.5,4800,0.330107
16,4800,0.30491867
16.5,4800,0.28234111
17,4800,0.26203643
17.5,4800,0.2437187
18,4800,0.22714475
18.5,4800,0.21210683
19,4800,0.19842664
19.5,4800,0.18595054
20,4800,0.17454563
20.5,4800,0.1640965
21,4800,0.15450258
21.5,4800,0.14567594
22,4800,0.13753945
22.5,4800,0.13002524
23,4800,0.12307345
23.5,4800,0.11663109
24,4800,0.11065113
24.5,4800,0.10509178
25,4800,0.09991575
25.1,0,0
25.5,0,0
26,0,0
