ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,40.265778,0.40080116
4,192.336589,0.80160232
4.5,462.129038,0.80160232
5,751.314801,0.80160232
5.5,1000,0.80160232
6,1298.271976,0.80160232
6.5,1650.638618,0.80160232
7,2061.607814,0.80160232
7.5,2535.687453,0.80160232
8,3077.385424,0.80160232
8.5,3691.209617,0.80160232
9,4381.667919,0.80160232
9.5,5153.268219,0.80160232
10,6010.518407,0.80160232
10.5,6957.926371,0.80160232
11,8000,0.80160232
11.5,8000,0.71729215
12,8000,0.64489285
12.5,8000,0.58232528
13,8000,0.52793724
13.5,8000,0.48040361
14,8000,0.43865248
14.5,8000,0.40180994
15,8000,0.36915821
15.5,8000,0.34010376
16,8000,0.31415265
16.5,8000,0.29089136
17,8000,0.26997178
17.5,8000,0.25109933
18,8000,0.23402347
18.5,8000,0.21853015
19,8000,0.20443567
19.5,8000,0.19158176
20,8000,0.17983147
20.5,8000,0.1690659
21,8000,0.15918144
21.5,8000,0.1500875
22,8000,0.14170461
22.5,8000,0.13396285
23,8000,0.12680054
23.5,8000,0.12016307
24,8000,0.11400203
24.5,8000,0.10827432
25,8000,0.10294154
25.1,0,0
25.5,0,0
26,0,0
