ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,37.859987,0.3970901
4,180.844907,0.79418021
4.5,434.51786,0.79418021
5,706.42542,0.79418021
5.5,940.252233,0.79418021
6,1220.703125,0.79418021
6.5,1552.016647,0.79418021
7,1938.431351,0.79418021
7.5,2384.185791,0.79418021
8,2893.518519,0.79418021
8.5,3470.668086,0.79418021
9,4119.873047,0.79418021
9.5,4845.371953,0.79418021
10,5000,0.71712876
10.5,5000,0.63478096
11,5000,0.56508715
11.5,5000,0.50565294
12,5000,0.45461528
12.5,5000,0.41050846
13,5000,0.37216777
13.5,5000,0.33865908
14,5000,0.30922675
14.5,5000,0.28325471
15,5000,0.26023697
15.5,5000,0.23975512
16,5000,0.22146096
16.5,5000,0.20506299
17,5000,0.1903158
17.5,5000,0.17701172
18,5000,0.16497414
18.5,5000,0.15405217
19,5000,0.14411631
19.5,5000,0.13505498
20,5000,0.12677165
20.5,5000,0.1191825
21,5000,0.11221448
21.5,5000,0.10580373
22,5000,0.09989424
22.5,5000,0.09443671
23,5000,0.08938766
23.5,5000,0.0847086
24,5000,0.08036539
24.5,5000,0.07632766
25,5000,0.07256833
25.1,0,0
25.5,0,0
26,0,0
