ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,40.509259,0.39786307
4,193.499622,0.79572614
4.5,464.923469,0.79572614
5,755.857899,0.79572614
5.5,1006.046863,0.79572614
6,1306.122449,0.79572614
6.5,1660.619803,0.79572614
7,2074.074074,0.79572614
7.5,2551.020408,0.79572614
8,3095.993953,0.79572614
8.5,3713.529856,0.79572614
9,4408.163265,0.79572614
9.5,5184.429327,0.79572614
10,6046.86319,0.79572614
10.5,7000,0.79572614
11,7000,0.70836185
11.5,7000,0.63385843
12,7000,0.56988045
12.5,7000,0.51459059
13,7000,0.46652884
13.5,7000,0.4245242
14,7000,0.38762947
14.5,7000,0.35507236
15,7000,0.32621861
15.5,7000,0.3005437
16,7000,0.27761116
16.5,7000,0.25705557
17,7000,0.23856931
17.5,7000,0.22189206
18,7000,0.20680242
18.5,7000,0.19311124
19,7000,0.1806562
19.5,7000,0.16929742
20,7000,0.1589139
20.5,7000,0.14940056
21,7000,0.14066584
21.5,7000,0.13262968
22,7000,0.12522187
22.5,7000,0.11838061
23,7000,0.1120514
23.5,7000,0.10618599
24,7000,0.10074158
24.5,7000,0.09568011
25,7000,0.09096762
25.1,0,0
25.5,0,0
26,0,0
