ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,33.572242,0.39756169
4,160.363734,0.79512339
4.5,385.307541,0.79512339
5,626.420836,0.79512339
5.5,833.766133,0.79512339
6,1082.455205,0.79512339
6.5,1376.246577,0.79512339
7,1718.898775,0.79512339
7.5,2114.170323,0.79512339
8,2565.819746,0.79512339
8.5,3077.605569,0.79512339
9,3300,0.73051037
9.5,3300,0.63815128
10,3300,0.56134862
10.5,3300,0.49688903
11,3300,0.44233463
11.5,3300,0.39581118
12,3300,0.3558603
12.5,3300,0.3213347
13,3300,0.29132267
13.5,3300,0.26509299
14,3300,0.24205417
14.5,3300,0.22172397
15,3300,0.20370632
15.5,3300,0.1876737
16,3300,0.17335354
16.5,3300,0.16051765
17,3300,0.14897396
17.5,3300,0.13855989
18,3300,0.12913721
18.5,3300,0.12058779
19,3300,0.11281027
19.5,3300,0.10571732
20,3300,0.09923335
20.5,3300,0.09329277
21,3300,0.0878384
21.5,3300,0.08282024
22,3300,0.07819445
22.5,3300,0.07392245
23,3300,0.06997019
23.5,3300,0.06630755
24,3300,0.06290781
24.5,3300,0.05974718
25,3300,0.05680449
25.1,0,0
25.5,0,0
26,0,0
