ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,42.706815,0.39736065
4,203.996634,0.7947213
4.5,490.144745,0.7947213
5,796.861852,0.7947213
5.5,1060.623125,0.7947213
6,1376.97728,0.7947213
6.5,1750.705488,0.7947213
7,2186.588921,0.7947213
7.5,2689.40875,0.7947213
8,3263.946145,0.7947213
8.5,3914.982278,0.7947213
9,4647.29832,0.7947213
9.5,5465.675441,0.7947213
10,6000,0.75557929
10.5,6000,0.66881622
11,6000,0.59538561
11.5,6000,0.5327647
12,6000,0.47899053
12.5,6000,0.43251882
13,6000,0.39212241
13.5,6000,0.35681707
14,6000,0.32580666
14.5,6000,0.29844207
15,6000,0.27419018
15.5,6000,0.25261015
16,6000,0.23333511
16.5,6000,0.21605792
17,6000,0.20052002
17.5,6000,0.18650261
18,6000,0.17381961
18.5,6000,0.16231203
19,6000,0.15184344
19.5,6000,0.14229627
20,6000,0.13356881
20.5,6000,0.12557275
21,6000,0.11823112
21.5,6000,0.11147665
22,6000,0.1052503
22.5,6000,0.09950015
23,6000,0.09418038
23.5,6000,0.08925044
24,6000,0.08467436
24.5,6000,0.08042014
25,6000,0.07645925
25.1,0,0
25.5,0,0
26,0,0
