ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,23.488697,0.39703639
4,112.197907,0.79407277
4.5,269.579028,0.79407277
5,438.273073,0.79407277
5.5,583.34146,0.79407277
6,757.335869,0.79407277
6.5,962.885941,0.79407277
7,1202.621311,0.79407277
7.5,1479.17162,0.79407277
8,1795.166505,0.79407277
8.5,2153.235606,0.79407277
9,2556.008559,0.79407277
9.5,3006.115005,0.79407277
10,3200,0.73585059
10.5,3200,0.65135296
11,3200,0.57983967
11.5,3200,0.51885385
12,3200,0.46648376
12.5,3200,0.42122546
13,3200,0.38188382
13.5,3200,0.34750033
14,3200,0.31729962
14.5,3200,0.29064954
15,3200,0.26703088
15.5,3200,0.24601432
16,3200,0.22724257
16.5,3200,0.21041649
17,3200,0.1952843
17.5,3200,0.1816329
18,3200,0.16928106
18.5,3200,0.15807396
19,3200,0.1478787
19.5,3200,0.13858082
20,3200,0.13008124
20.5,3200,0.12229395
21,3200,0.11514402
21.5,3200,0.10856591
22,3200,0.10250214
22.5,3200,0.09690213
23,3200,0.09172127
23.5,3200,0.08692005
24,3200,0.08246346
24.5,3200,0.07832032
25,3200,0.07446284
25.1,0,0
25.5,0,0
26,0,0
