ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,72.422365,0.40259569
4,345.938199,0.80519139
4.5,831.189157,0.80519139
5,1351.32109,0.80519139
5.5,1798.608371,0.80519139
6,2335.082844,0.80519139
6.5,2968.852435,0.80519139
7,3708.025071,0.80519139
7.5,4560.708679,0.80519139
8,5535.011185,0.80519139
8.5,6639.040516,0.80519139
9,7880.904598,0.80519139
9.5,9268.711357,0.80519139
10,10810.568721,0.80519139
10.5,12514.584615,0.80519139
11,14000,0.78701617
11.5,14000,0.70424013
12,14000,0.63315822
12.5,14000,0.57172915
13,14000,0.51833076
13.5,14000,0.47166206
14,14000,0.43067065
14.5,14000,0.3944985
15,14000,0.36244092
15.5,14000,0.33391515
16,14000,0.30843625
16.5,14000,0.28559823
17,14000,0.26505931
17.5,14000,0.24653027
18,14000,0.22976512
18.5,14000,0.21455372
19,14000,0.20071571
19.5,14000,0.18809569
20,14000,0.17655921
20.5,14000,0.16598954
21,14000,0.15628494
21.5,14000,0.14735647
22,14000,0.13912612
22.5,14000,0.13152523
23,14000,0.12449324
23.5,14000,0.11797656
24,14000,0.11192762
24.5,14000,0.10630413
25,14000,0.10106839
25.1,0,0
25.5,0,0
26,0,0
