ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,13.671395,0.39544984
4,65.30383,0.79089969
4.5,156.906163,0.79089969
5,255.093087,0.79089969
5.5,339.528898,0.79089969
6,440.800854,0.79089969
6.5,560.439511,0.79089969
7,699.975429,0.79089969
7.5,860.939167,0.79089969
8,1044.861282,0.79089969
8.5,1253.272334,0.79089969
9,1487.702881,0.79089969
9.5,1749.68348,0.79089969
10,2040.744692,0.79089969
10.5,2362.417074,0.79089969
11,2500,0.73807269
11.5,2500,0.66044438
12,2500,0.59378296
12.5,2500,0.53617408
13,2500,0.48609647
13.5,2500,0.44233003
14,2500,0.40388782
14.5,2500,0.36996517
15,2500,0.3399012
15.5,2500,0.31314941
16,2500,0.28925501
16.5,2500,0.26783726
17,2500,0.24857563
17.5,2500,0.23119888
18,2500,0.21547634
18.5,2500,0.20121091
19,2500,0.18823347
19.5,2500,0.17639827
20,2500,0.16557923
20.5,2500,0.15566687
21,2500,0.14656579
21.5,2500,0.13819257
22,2500,0.13047405
22.5,2500,0.12334585
23,2500,0.11675117
23.5,2500,0.11063975
24,2500,0.10496699
24.5,2500,0.09969322
25,2500,0.09478308
25.1,0,0
25.5,0,0
26,0,0
