ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,33.030981,0.39598878
4,157.778306,0.79197755
4.5,379.095508,0.79197755
5,616.321508,0.79197755
5.5,820.323928,0.79197755
6,1065.003566,0.79197755
6.5,1354.058354,0.79197755
7,1691.186219,0.79197755
7.5,2080.085091,0.79197755
8,2524.452898,0.79197755
8.5,3027.987571,0.79197755
9,3594.387037,0.79197755
9.5,4227.349226,0.79197755
10,4500,0.73390899
10.5,4500,0.64963432
11,4500,0.57830973
11.5,4500,0.51748481
12,4500,0.46525291
12.5,4500,0.42011402
13,4500,0.38087619
13.5,4500,0.34658342
14,4500,0.3164624
14.5,4500,0.28988264
15,4500,0.2663263
15.5,4500,0.2453652
16,4500,0.22664297
16.5,4500,0.20986129
17,4500,0.19476903
17.5,4500,0.18115365
18,4500,0.1688344
18.5,4500,0.15765687
19,4500,0.14748852
19.5,4500,0.13821516
20,4500,0.12973801
20.5,4500,0.12197127
21,4500,0.11484021
21.5,4500,0.10827945
22,4500,0.10223168
22.5,4500,0.09664645
23,4500,0.09147925
23.5,4500,0.08669071
24,4500,0.08224587
24.5,4500,0.07811366
25,4500,0.07426637
25.1,0,0
25.5,0,0
26,0,0
