ws_m_s,power_kW,ct
0.0,0.0,0
0.5,0.0,0
1.0,0.0,0
1.5,0.0,0
2.0,0.0,0
2.5,0.0,0
3.0,0.0,0
3.5,37.063,0.3974
4.0,177.036,0.7948
4.5,425.365,0.7948
5.0,691.545,0.7948
5.5,920.447,0.7948
6.0,1194.991,0.7948
6.5,1519.325,0.7948
7.0,1897.601,0.7948
7.5,2333.966,0.7948
8.0,2832.57,0.7948
8.5,3397.563,0.7948
9.0,4033.093,0.7948
9.5,4743.31,0.7948
10.0,5532.364,0.7948
10.5,5700,0.7212
11.0,5700,0.6421
11.5,5700,0.5745
12.0,5700,0.5165
12.5,5700,0.4664
13.0,5700,0.4229
13.5,5700,0.3848
14.0,5700,0.3513
14.5,5700,0.3218
15.0,5700,0.2957
15.5,5700,0.2724
16.0,5700,0.2516
16.5,5700,0.233
17.0,5700,0.2162
17.5,5700,0.2011
18.0,5700,0.1874
18.5,5700,0.175
19.0,5700,0.1637
19.5,5700,0.1534
20.0,5700,0.144
20.5,5700,0.1354
21.0,5700,0.1275
21.5,5700,0.1202
22.0,5700,0.1135
22.5,5700,0.1073
23.0,5700,0.1016
23.5,5700,0.0962
24.0,5700,0.0913
24.5,5700,0.0867
25.0,5700,0.0825
25.5,5700,0.0785
26.0,5700,0.0748
26.5,0.0,0
27.0,0.0,0
27.5,0.0,0
28.0,0.0,0
28.5,0.0,0
29.0,0.0,0
29.5,0.0,0
30.0,0.0,0
