ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,17.361111,0.39662819
4,82.928409,0.79325639
4.5,199.252915,0.79325639
5,323.939099,0.79325639
5.5,431.162941,0.79325639
6,559.766764,0.79325639
6.5,711.694201,0.79325639
7,888.888889,0.79325639
7.5,1093.294461,0.79325639
8,1326.854551,0.79325639
8.5,1591.512796,0.79325639
9,1889.212828,0.79325639
9.5,2221.898283,0.79325639
10,2591.512796,0.79325639
10.5,3000,0.79325639
11,3000,0.70616325
11.5,3000,0.63189108
12,3000,0.56811167
12.5,3000,0.51299342
13,3000,0.46508083
13.5,3000,0.42320657
14,3000,0.38642635
14.5,3000,0.3539703
15,3000,0.32520609
15.5,3000,0.29961088
16,3000,0.27674951
16.5,3000,0.25625772
17,3000,0.23782884
17.5,3000,0.22120335
18,3000,0.20616055
18.5,3000,0.19251187
19,3000,0.18009548
19.5,3000,0.16877196
20,3000,0.15842067
20.5,3000,0.14893685
21,3000,0.14022924
21.5,3000,0.13221803
22,3000,0.12483321
22.5,3000,0.11801318
23,3000,0.11170362
23.5,3000,0.10585641
24,3000,0.1004289
24.5,3000,0.09538314
25,3000,0.09068528
25.1,0,0
25.5,0,0
26,0,0
