ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,25.749083,0.39719554
4,122.995039,0.79439108
4.5,295.521405,0.79439108
5,480.449371,0.79439108
5.5,639.478113,0.79439108
6,830.216513,0.79439108
6.5,1055.547268,0.79439108
7,1318.353074,0.79439108
7.5,1621.516628,0.79439108
8,1967.920624,0.79439108
8.5,2360.447761,0.79439108
9,2801.980733,0.79439108
9.5,3295.402237,0.79439108
10,3843.594969,0.79439108
10.5,4200,0.75710162
11,4200,0.67397798
11.5,4200,0.60309096
12,4200,0.54221847
12.5,4200,0.48961238
13,4200,0.44388354
13.5,4200,0.40391781
14,4200,0.36881394
14.5,4200,0.33783716
15,4200,0.31038396
15.5,4200,0.28595532
16,4200,0.26413592
16.5,4200,0.2445781
17,4200,0.22698916
17.5,4200,0.21112142
18,4200,0.19676423
18.5,4200,0.18373763
19,4200,0.17188715
19.5,4200,0.16107973
20,4200,0.15120022
20.5,4200,0.14214866
21,4200,0.13383792
21.5,4200,0.12619184
22,4200,0.1191436
22.5,4200,0.11263442
23,4200,0.10661243
23.5,4200,0.10103172
24,4200,0.09585159
24.5,4200,0.0910358
25,4200,0.08655206
25.1,0,0
25.5,0,0
26,0,0
