ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,81.018519,0.40156
4,386.999244,0.80311999
4.5,929.846939,0.80311999
5,1511.715797,0.80311999
5.5,2012.093726,0.80311999
6,2612.244898,0.80311999
6.5,3321.239607,0.80311999
7,4148.148148,0.80311999
7.5,5102.040816,0.80311999
8,6191.987906,0.80311999
8.5,7427.059713,0.80311999
9,8816.326531,0.80311999
9.5,10368.858655,0.80311999
10,12093.726379,0.80311999
10.5,14000,0.80311999
11,14000,0.71494391
11.5,14000,0.63974822
12,14000,0.57517575
12.5,14000,0.51937214
13,14000,0.4708638
13.5,14000,0.42846886
14,14000,0.3912313
14.5,14000,0.35837168
15,14000,0.32924981
15.5,14000,0.30333634
16,14000,0.28019071
16.5,14000,0.25944412
17,14000,0.24078608
17.5,14000,0.22395387
18,14000,0.20872402
18.5,14000,0.19490562
19,14000,0.18233485
19.5,14000,0.17087053
20,14000,0.16039052
20.5,14000,0.15078878
21,14000,0.1419729
21.5,14000,0.13386207
22,14000,0.12638542
22.5,14000,0.1194806
23,14000,0.11309258
23.5,14000,0.10717266
24,14000,0.10167767
24.5,14000,0.09656916
25,14000,0.09181289
25.1,0,0
25.5,0,0
26,0,0
