ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,69.444444,0.40017389
4,331.713638,0.80034778
4.5,797.011662,0.80034778
5,1295.756398,0.80034778
5.5,1724.651765,0.80034778
6,2239.067055,0.80034778
6.5,2846.776806,0.80034778
7,3555.555556,0.80034778
7.5,4373.177843,0.80034778
8,5307.418205,0.80034778
8.5,6366.051182,0.80034778
9,7556.851312,0.80034778
9.5,8887.593132,0.80034778
10,10366.051182,0.80034778
10.5,12000,0.80034778
11,12000,0.71247606
11.5,12000,0.63753993
12,12000,0.57319036
12.5,12000,0.51757937
13,12000,0.46923847
13.5,12000,0.42698987
14,12000,0.38988085
14.5,12000,0.35713465
15,12000,0.32811331
15.5,12000,0.30228928
16,12000,0.27922354
16.5,12000,0.25854856
17,12000,0.23995494
17.5,12000,0.22318082
18,12000,0.20800354
18.5,12000,0.19423284
19,12000,0.18170546
19.5,12000,0.17028071
20,12000,0.15983688
20.5,12000,0.15026829
21,12000,0.14148283
21.5,12000,0.1334
22,12000,0.12594916
22.5,12000,0.11906817
23,12000,0.1127022
23.5,12000,0.10680273
24,12000,0.1013267
24.5,12000,0.09623583
25,12000,0.09149597
25.1,0,0
25.5,0,0
26,0,0
