ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,24.200528,0.39697044
4,115.598093,0.79394088
4.5,277.748689,0.79394088
5,451.555049,0.79394088
5.5,601.019771,0.79394088
6,780.287125,0.79394088
6.5,992.066443,0.79394088
7,1239.067055,0.79394088
7.5,1523.998292,0.79394088
8,1849.569482,0.79394088
8.5,2218.489957,0.79394088
9,2633.469048,0.79394088
9.5,3097.216083,0.79394088
10,3400,0.7548373
10.5,3400,0.66815944
11,3400,0.59480093
11.5,3400,0.53224152
12,3400,0.47852016
12.5,3400,0.43209409
13,3400,0.39173734
13.5,3400,0.35646667
14,3400,0.32548671
14.5,3400,0.29814899
15,3400,0.27392092
15.5,3400,0.25236209
16,3400,0.23310597
16.5,3400,0.21584575
17,3400,0.20032311
17.5,3400,0.18631947
18,3400,0.17364892
18.5,3400,0.16215264
19,3400,0.15169433
19.5,3400,0.14215653
20,3400,0.13343764
20.5,3400,0.12544943
21,3400,0.11811502
21.5,3400,0.11136718
22,3400,0.10514694
22.5,3400,0.09940244
23,3400,0.0940879
23.5,3400,0.0891628
24,3400,0.08459121
24.5,3400,0.08034117
25,3400,0.07638416
25.1,0,0
25.5,0,0
26,0,0
