ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,13.808566,0.39640753
4,65.95905,0.79281506
4.5,158.480466,0.79281506
5,257.652538,0.79281506
5.5,342.935528,0.79281506
6,445.223586,0.79281506
6.5,566.062626,0.79281506
7,706.998564,0.79281506
7.5,869.577316,0.79281506
8,1055.344796,0.79281506
8.5,1265.846919,0.79281506
9,1502.629602,0.79281506
9.5,1767.238758,0.79281506
10,2000,0.77314309
10.5,2000,0.68436317
11,2000,0.60922563
11.5,2000,0.54514907
12,2000,0.4901249
12.5,2000,0.44257293
13,2000,0.40123748
13.5,2000,0.36511145
14,2000,0.33338019
14.5,2000,0.30537949
15,2000,0.28056386
15.5,2000,0.25848219
16,2000,0.23875909
16.5,2000,0.22108029
17,2000,0.2051812
17.5,2000,0.19083796
18,2000,0.17786013
18.5,2000,0.16608506
19,2000,0.15537312
19.5,2000,0.14560401
20,2000,0.13667368
20.5,2000,0.12849174
21,2000,0.12097946
21.5,2000,0.11406797
22,2000,0.10769689
22.5,2000,0.10181308
23,2000,0.09636965
23.5,2000,0.09132511
24,2000,0.08664266
24.5,2000,0.08228955
25,2000,0.07823658
25.1,0,0
25.5,0,0
26,0,0
