ws_m_s,power_kW,ct
0,0,0
0.5,0,0
1,0,0
1.5,0,0
2,0,0
2.5,0,0
3,0,0
3.5,31.170781,0.39802515
4,148.892733,0.79605031
4.5,357.746052,0.79605031
5,581.612237,0.79605031
5.5,774.125888,0.79605031
6,1005.025946,0.79605031
6.5,1277.802085,0.79605031
7,1595.943979,0.79605031
7.5,1962.941301,0.79605031
8,2382.283724,0.79605031
8.5,2857.460922,0.79605031
9,3391.962568,0.79605031
9.5,3989.278336,0.79605031
10,4652.897898,0.79605031
10.5,5386.310929,0.79605031
11,5700,0.74287928
11.5,5700,0.66474543
12,5700,0.59764989
12.5,5700,0.53966584
13,5700,0.4892621
13.5,5700,0.44521064
14,5700,0.40651808
14.5,5700,0.37237452
15,5700,0.34211476
15.5,5700,0.31518875
16,5700,0.29113874
16.5,5700,0.26958151
17,5700,0.25019444
17.5,5700,0.23270453
18,5700,0.2168796
18.5,5700,0.20252127
19,5700,0.18945931
19.5,5700,0.17754704
20,5700,0.16665754
20.5,5700,0.15668063
21,5700,0.14752028
21.5,5700,0.13909253
22,5700,0.13132374
22.5,5700,0.12414912
23,5700,0.1175115
23.5,5700,0.11136028
24,5700,0.10565057
24.5,5700,0.10034246
25,5700,0.09540034
25.1,0,0
25.5,0,0
26,0,0
