ws_m_s,power_kW,ct
0.0,0.0,0
0.5,0.0,0
1.0,0.0,0
1.5,0.0,0
2.0,0.0,0
2.5,0.0,0
3.0,0.0,0
3.5,29.778,0.3989
4.0,142.239,0.7978
4.5,341.76,0.7978
5.0,555.623,0.7978
5.5,739.534,0.7978
6.0,960.116,0.7978
6.5,1220.703,0.7978
7.0,1524.629,0.7978
7.5,1875.227,0.7978
8.0,2275.831,0.7978
8.5,2729.774,0.7978
9.0,3240.392,0.7978
9.5,3811.016,0.7978
10.0,4444.982,0.7978
10.5,5000,0.7789
11.0,5000,0.6934
11.5,5000,0.6205
12.0,5000,0.5578
12.5,5000,0.5037
13.0,5000,0.4567
13.5,5000,0.4156
14.0,5000,0.3794
14.5,5000,0.3476
15.0,5000,0.3193
15.5,5000,0.2942
16.0,5000,0.2717
16.5,5000,0.2516
17.0,5000,0.2335
17.5,5000,0.2172
18.0,5000,0.2024
18.5,5000,0.189
19.0,5000,0.1768
19.5,5000,0.1657
20.0,5000,0.1556
20.5,5000,0.1462
21.0,5000,0.1377
21.5,5000,0.1298
22.0,5000,0.1226
22.5,5000,0.1159
23.0,5000,0.1097
23.5,5000,0.1039
24.0,5000,0.0986
24.5,5000,0.0937
25.0,5000,0.089
25.5,0.0,0
26.0,0.0,0
26.5,0.0,0
27.0,0.0,0
27.5,0.0,0
28.0,0.0,0
28.5,0.0,0
29.0,0.0,0
29.5,0.0,0
30.0,0.0,0
